MC1	MC2	MC3	Code	PRIO	DEFINITIE
Dienstverlening	KMAR	Geplande actie	dvkmga	3	Acties van de KMAR die, op zich, niet op onverwacht voordoende incidenten gebaseerd zijn maar van te voren gepland zijn. Onder andere bij oefeningen en stand-by staan bij evenementen.
Dienstverlening	KMAR	Signalering	dvkmsn	3	Signalering uit een opsporingssysteem, niet zijnde via sensing.
Dienstverlening	KMAR	Testmelding	dvkmtm	5	Het verwerken van een testmelding, voor doeleinden om berichtaflevering/aansturing te testen
Dienstverlening	Multi		dvmu	5	Het verlenen van hulp en leveren van diensten door meerdere disciplines aan derden en de eigen dienst.
Dienstverlening	Multi	Afstemverzoek	dvmuav	5	Verzoek van de alarmcentrale aan contactpersoon van de politie in een bepaald gebied, om contact op te nemen met de meldkamer voor overleg hoe om te gaan met een niet spoedeisende, mogelijk nog nader te classificeren zaak.
Dienstverlening	Multi	Buitensluiting	dvmubt	5	
Dienstverlening	Multi	Geplande actie	dvmuga	4	
Dienstverlening	Multi	Oefening	dvmuoe	5	Het verwerken van een fictief incident, voor trainingsdoeleinden.
Dienstverlening	Multi	Overname meldkamer	dvmuom	5	Het overnemen van een meldkamer door een andere meldkamer.
Dienstverlening	Multi	Testmelding	dvmutm	5	Het verwerken van een testmelding, voor doeleinden om berichtaflevering/aansturing te testen
Dienstverlening	Multi	Uitval meldkamer	dvmumk	5	De melding aan de disciplines dat de meldkamer beperkt of niet functioneert.
Dienstverlening	Multi	Uitval systeem	dvmuc2	5	De melding aan de disciplines dat C2000 is uitgevallen.
Dienstverlening	Politie		dvpo	5	Het verlenen van hulp en leveren van diensten door de politie aan derden en de eigen dienst. Niet zijnde directe inzet voor een incident tenzij het grootschalige bijstand buiten de regio/werkingsgebied betreft.
Dienstverlening	Politie	Aan instanties	dvpoai	3	Het verlenen van hulp en leveren van diensten door de politie aan instanties.
Dienstverlening	Politie	Aantreffen van	dvpoav	3	De inzet van de politie in het kader van het aantreffen van personen of goederen.
Dienstverlening	Politie	Afstemverzoek	dvplav	3	Verzoek van de alarmcentrale aan contactpersoon van de politie in een bepaald gebied, om contact op te nemen met de meldkamer voor overleg hoe om te gaan met een niet spoedeisende, mogelijk nog nader te classificeren zaak.
Dienstverlening	Politie	Begeleiden	dvpobg	3	Inzet van de politie bij de begeleiding van personen  en goederen.
Dienstverlening	Politie	Bijstand	dvpobs	3	Bijstand aanvraag/-inzet van de politie voor (grootschalige) inzet buiten het werkgebied van de alarmcentrale.
Dienstverlening	Politie	Controle Wet ID	dvpoci	3	
Dienstverlening	Politie	Dienst aan derden	dvpodd	3	Het verlenen van diensten aan derden door de politie.
Dienstverlening	Politie	Eigen initiatief	dvpoei	3	
Dienstverlening	Politie	Geplande actie	dvpoga	5	Acties van de politie die, op zich, niet op onverwacht voordoende incidenten gebaseerd zijn maar van te voren gepland zijn. Onder andere bij oefeningen en stand-by staan bij evenementen.
Dienstverlening	Politie	Oefening	dvpooe	5	Het verwerken van een fictief incident, voor trainingsdoeleinden.
Dienstverlening	Politie	Overbrengen	dvpoob	3	
Dienstverlening	Politie	Testmelding	dvpltm	5	Het verwerken van een testmelding, voor doeleinden om berichtaflevering/aansturing te testen
Dienstverlening	Politie	Vermissing	dvpovm	2	
Gezondheid			gz		Gezondheidsproblemen die niet gerelateerd zijn aan brand of een ongeval (of andere MC).
Gezondheid	Onwel/Ziekte		gzoz	1	
Gezondheid	Poging zelfdoding		gzpz	1	Er is een melding voor een van de disciplines van poging tot zelfdoding.
Gezondheid	Reanimatie		gzra	1	
Gezondheid	Suicidaal persoon		gzsp	2	
Hulpvraag			hvr		Hulpaanvragen die bij de meldkamer binnenkomen
Hulpvraag	Ambulancezorg		hvaz	2	Hulpaanvragen die bij de ambulanzezorg binnenkomen
Hulpvraag	Ambulancezorg	Directe inzet	hvazdi	2	De centralist van de meldkamer ambulancezorg stuurt op basis van een 112-melding zo snel als mogelijk en voor afronding van de triage een ambulance-eenheid in de richting van het incident. Het uitsturen van de ambulance gebeurt met een A2-urgentie. Triage, terwijl de ambulance al onderweg is, kan aanleiding geven de inzetopdracht en/of de urgentie bij te stellen of eventueel zelfs de inzetopdracht af te breken.
